model,sample_id,dataset,image_name,processing_time,text_similarity,text_precision,text_recall,text_f1,text_predicted_length,text_ground_truth_length,detection_precision,detection_recall,detection_f1,avg_iou
easyocr,0,French,12_0bb90_default.jpg,9.796366930007935,0.2990904226859283,0.6577669902912622,0.6741293532338308,0.6658476658476659,3711,3795,,,,
easyocr,1,French,14_e26ee_default.jpg,8.55092716217041,0.09215017064846416,0.8490028490028491,0.8713450292397661,0.86002886002886,3832,3818,,,,
easyocr,2,French,2_f1a3f_default.jpg,2.1173481941223145,0.3250214961306965,0.43548387096774194,0.4576271186440678,0.4462809917355372,567,598,,,,
easyocr,3,French,8_5eeab_default.jpg,8.815059423446655,0.26969615488034415,0.6675324675324675,0.6781002638522428,0.6727748691099477,3691,3777,,,,
easyocr,4,French,10_10fe5_default.jpg,9.47457242012024,0.26861838726245507,0.7040816326530612,0.7095115681233933,0.706786171574904,3872,3945,,,,
easyocr,5,French,16_e8fb7_default.jpg,9.811736106872559,0.20336538461538461,0.8465753424657534,0.865546218487395,0.8559556786703602,4145,4223,,,,
easyocr,6,French,17_24e64_default.jpg,11.128857851028442,0.14820280383682935,0.8635346756152126,0.8752834467120182,0.8693693693693694,4694,4850,,,,
easyocr,7,French,11_ef202_default.jpg,9.298032760620117,0.21104327050703478,0.712082262210797,0.725130890052356,0.7185473411154345,3734,3822,,,,
easyocr,8,French,5_1df9d_default.jpg,9.119359254837036,0.1989065347565738,0.7480916030534351,0.7386934673366834,0.7433628318584072,3812,3884,,,,
easyocr,9,French,18_ac1da_default.jpg,10.565168619155884,0.0910544834204073,0.8135198135198135,0.8250591016548463,0.8192488262910798,4643,4798,,,,
easyocr,10,English,0060080406.png,1.5396928787231445,0.03233256351039261,0.40601503759398494,0.38028169014084506,0.3927272727272727,1028,1139,,,,
easyocr,11,English,0001477983.png,1.5253674983978271,0.087527352297593,0.6382978723404256,0.6936416184971098,0.664819944598338,1803,1853,,,,
easyocr,12,English,88547278_88547279.png,1.5084853172302246,0.3948979591836735,0.5481481481481482,0.6166666666666667,0.580392156862745,1145,827,,,,
easyocr,13,English,92094746.png,1.0055270195007324,0.12570781426953567,0.5490196078431373,0.49557522123893805,0.5209302325581394,852,914,,,,
easyocr,14,English,0001239897.png,1.181776523590088,0.015363128491620111,0.07142857142857142,0.06741573033707865,0.06936416184971098,647,788,,,,
easyocr,15,English,00836816.png,1.4766287803649902,0.07162534435261708,0.26605504587155965,0.2396694214876033,0.25217391304347825,789,1027,,,,
easyocr,16,English,00860012_00860014.png,1.3643691539764404,0.26330532212885155,0.5874125874125874,0.5490196078431373,0.5675675675675677,1219,1282,,,,
easyocr,17,English,71108371.png,1.55241060256958,0.19031241043278876,0.5988700564971752,0.6385542168674698,0.6180758017492711,1697,1793,,,,
easyocr,18,English,01122115.png,1.987525463104248,0.22684310018903592,0.6069364161849711,0.5614973262032086,0.5833333333333334,1272,1373,,,,
easyocr,19,English,00836244.png,1.3897974491119385,0.10689655172413794,0.28205128205128205,0.22758620689655173,0.25190839694656486,780,960,,,,
tesseract,0,French,12_0bb90_default.jpg,7.8636696338653564,0.2793943383805135,0.7085308056872038,0.7437810945273632,0.725728155339806,3888,3795,,,,
tesseract,1,French,14_e26ee_default.jpg,7.166314363479614,0.3473069435431538,0.7988980716253443,0.847953216374269,0.822695035460993,3956,3818,,,,
tesseract,2,French,2_f1a3f_default.jpg,3.024203062057495,0.18841832324978391,0.45,0.4576271186440678,0.45378151260504196,571,598,,,,
